name,gender,sport,event,year,city,gold,silver,bronze
Norman Gilbert,M,Athletics,"Men's 200 metres hurdles,Men's 200 metres",1900,Paris,0.0,2.0,0.0
Dinkarrao Shinde,M,Wrestling,Featherweight,1920,Belgium,0.0,0.0,0.0
Kumar Navale,M,Wrestling,Middleweight,1920,Belgium,0.0,0.0,0.0
Purma Bannerjee,M,Athletics,"Men's 100 meters,Men's 400 meters",1920,Belgium,0.0,0.0,0.0
Phadeppa Chaugule,M,Athletics,"Men's 10000 meters,Marathon",1920,Belgium,0.0,0.0,0.0
Sadashiv Datar,M,Athletics,Marathon,1920,Belgium,0.0,0.0,0.0
Athar Fyzee,M,Tennis,Singles,1924,Paris,0.0,0.0,0.0
Syed Mohammad Hadi,M,Tennis,"Singles,Doubles",1924,Paris,0.0,0.0,0.0
Sydney Jacob,M,Tennis,"Singles,Doubles",1924,Paris,0.0,0.0,0.0
Mohammed Sleem,M,Tennis,"Singles,Doubles",1924,Paris,0.0,0.0,0.0
Donald Rutnam,M,Tennis,Doubles,1924,Paris,0.0,0.0,0.0
Nora Polley,W,Tennis,"Singles,Doubles",1924,Paris,0.0,0.0,0.0
James Hall,M,Athletics,"Men's 100 meters,Men's 200 meters",1924,Paris,0.0,0.0,0.0
Wilfred Hildreth,M,Athletics,"Men's 100 meters,Men's 200 meters",1924,Paris,0.0,0.0,0.0
C. K. Lakshmanan,M,Athletics,Men's 110 meters Hurdles,1924,Paris,0.0,0.0,0.0
Terence Pitt,M,Athletics,"Men's 100 meters,Men's 200 meters,Men's 400 meters",1924,Paris,0.0,0.0,0.0
Dalip Singh,M,Athletics,Long jump,1924,Paris,0.0,0.0,0.0
Mahadeo Singh,M,Athletics,Marathon,1924,Paris,0.0,0.0,0.0
Pala Singh,M,Athletics,"Men's 1500 meters,Men's 5000 meters,Men's 10000 meters",1924,Paris,0.0,0.0,0.0
Richard Allen,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
Dhyan Chand,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
Michael Gateley,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
William Goodsir-Cullen,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
Leslie Hammond,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
Feroze Khan,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
George Marthins,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
Rex Norris,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
Broome Pinniger,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
Michael Rocque,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
Frederic Seaman,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
Ali Shaukat,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
Jaipal Singh,M,Hockey, men's field hockey,1928,Amsterdam,1.0,0.0,0.0
Kher Singh Gill,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
Sayed Yusuf,M,Hockey, men's field hockey,1928,Amsterdam,0.0,0.0,0.0
Dalip Singh,M,Athletics,Long jump,1928,Amsterdam,0.0,0.0,0.0
James Hall,M,Athletics,Men's 200 metres,1928,Amsterdam,0.0,0.0,0.0
J. Murphy,M,Athletics,Men's 800 metres,1928,Amsterdam,0.0,0.0,0.0
Gurbachan Singh,M,Athletics,Men's 5000 meters,1928,Amsterdam,0.0,0.0,0.0
Chavan Singh,M,Athletics,Men's 10000 meters,1928,Amsterdam,0.0,0.0,0.0
S. Abdul Hamid,M,Athletics,Men's 110 meters Hurdles,1928,Amsterdam,0.0,0.0,0.0
Ronald Burns,M,Athletics,"Men's 100 meters,Men's 200 meters",1928,Amsterdam,0.0,0.0,0.0
Richard Allen,M,Hockey,men's field hockey,1932,Los Angeles,0.0,0.0,0.0
Muhammad Aslam,M,Hockey,men's field hockey,1932,Los Angeles,0.0,0.0,0.0
Lal Bokhari,M,Hockey,men's field hockey,1932,Los Angeles,1.0,0.0,0.0
Frank Brewin,M,Hockey,men's field hockey,1932,Los Angeles,0.0,0.0,0.0
Richard Carr,M,Hockey,men's field hockey,1932,Los Angeles,0.0,0.0,0.0
Dhyan Chand,M,Hockey,men's field hockey,1932,Los Angeles,0.0,0.0,0.0
Leslie Hammond,M,Hockey,men's field hockey,1932,Los Angeles,0.0,0.0,0.0
Arthur Hind,M,Hockey,men's field hockey,1932,Los Angeles,0.0,0.0,0.0
Sayed Jaffar,M,Hockey,men's field hockey,1932,Los Angeles,0.0,0.0,0.0
Masud Minhas,M,Hockey,men's field hockey,1932,Los Angeles,0.0,0.0,0.0
Broome Pinniger,M,Hockey,men's field hockey,1932,Los Angeles,0.0,0.0,0.0
Gurmit Singh Kullar,M,Hockey,men's field hockey,1932,Los Angeles,0.0,0.0,0.0
Roop Singh,M,Hockey,men's field hockey,1932,Los Angeles,0.0,0.0,0.0
William Sullivan,M,Hockey,men's field hockey,1932,Los Angeles,0.0,0.0,0.0
Carlyle Tapsell,M,Hockey,men's field hockey,1932,Los Angeles,0.0,0.0,0.0
Bunno Sutton,M,Athletics,Men's 100 meters,1932,Los Angeles,0.0,0.0,0.0
Ronald Vernieux,M,Athletics,"Men's 100 meters,Men's 110 meters hurdles",1932,Los Angeles,0.0,0.0,0.0
Mehar Chand Dhawan,M,Athletics,Triple Jump,1932,Los Angeles,0.0,0.0,0.0
Dickie Carr,M,Athletics,Men's 100 meters,1932,Los Angeles,0.0,0.0,0.0
Nalin Malik,M,Aquatics,Freestyle,1932,Los Angeles,0.0,0.0,0.0
Shankarrao Thorat,M,Wrestling,Men's Freestyle Wrestling,1936,Berlin,0.0,0.0,0.0
Rashid Anwar,M,Wrestling,Men's Freestyle Wrestling,1936,Berlin,0.0,0.0,0.0
Karam Rasul,M,Wrestling,Men's Freestyle Wrestling,1936,Berlin,0.0,0.0,0.0
Zaw Weik,M,Weightlifting,Men's 75kg,1936,Berlin,0.0,0.0,0.0
Richard Allen,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
Dhyan Chand,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
Earnest Cullen,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
Ali Dara,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
Lionel Emmett,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
Peter Fernandes,M,Hockey,men's field hockey,1936,Berlin,1.0,0.0,0.0
Joseph Galibardy,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
Mohomed Hussain,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
Mohammed Jaffar,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
Ahmed Sher Khan,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
Ahsan Mohomed Khan,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
Mirza Masood,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
Cyril Michie,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
Baboo Nimal,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
Joseph Phillip,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
Shabban Shahab Ud-Din,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
G.S. Garewal,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
Roop Singh,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
Carlyle Tapsell,M,Hockey,men's field hockey,1936,Berlin,0.0,0.0,0.0
Eric Whiteside,M,Athletics,"Men's 100 meters,Men's 200 meters",1936,Berlin,0.0,0.0,0.0
C.S.A.Swami,M,Athletics,Marathon,1936,Berlin,0.0,0.0,0.0
Ghyan Bhalla,M,Athletics,Men's 400 meters,1936,Berlin,0.0,0.0,0.0
Raunaq Singh Gill,M,Athletics,Men's 5000 meters,1936,Berlin,0.0,0.0,0.0
K. D. Jadhav,M,Wrestling,Men's Under 52KG Freestyle,1948,London,0.0,0.0,0.0
Nirmal Bose,M,Wrestling,Men's Under 57KG Freestyle,1948,London,0.0,0.0,0.0
S. Suryavanshi,M,Wrestling,Men's Under 62KG Freestyle,1948,London,0.0,0.0,0.0
Banta Singh,M,Wrestling,Men's Under 67KG Freestyle,1948,London,0.0,0.0,0.0
A. Bhargava,M,Wrestling,Men's Under 73KG Freestyle,1948,London,0.0,0.0,0.0
K. Roy,M,Wrestling,Men's Under 79KG Freestyle,1948,London,0.0,0.0,0.0
Leslie Claudius,M,Water Polo,Men's Team,1948,London,0.0,0.0,0.0
Gora Seal,M,Water Polo,Men's Team,1948,London,0.0,0.0,0.0
Samarendra Chatterjee,M,Water Polo,Men's Team,1948,London,0.0,0.0,0.0
Ajoy Chatterjee,M,Water Polo,Men's Team,1948,London,0.0,0.0,0.0
Suhas Chatterjee,M,Water Polo,Men's Team,1948,London,0.0,0.0,0.0
Dwarkadas Mukharji,M,Water Polo,Men's Team,1948,London,0.0,0.0,0.0
Durga Das,M,Water Polo,Men's Team,1948,London,0.0,0.0,0.0
Jamini Dass,M,Water Polo,Men's Team,1948,London,0.0,0.0,0.0
Sachin Nag,M,Water Polo,Men's Team,1948,London,0.0,0.0,0.0
Isaac Monsoor,M,Water Polo,Men's Team,1948,London,0.0,0.0,0.0
Jahan Ahir,M,Water Polo,Men's Team,1948,London,0.0,0.0,0.0
Sachin Nag,M,Swimming,Men's 100M Freestyle,1948,London,0.0,0.0,0.0
Isaac Monsoor,M,Swimming,Men's 100M Freestyle,1948,London,0.0,0.0,0.0
Dilip Mitra,M,Swimming,Men's 100M Freestyle,1948,London,0.0,0.0,0.0
Bimal Chandra,M,Swimming,"Men's 400M Freestyle,Men's 1500M Freestyle",1948,London,0.0,0.0,0.0
Khamlillal Shah,M,Swimming,Men's 100M Backstroke,1948,London,0.0,0.0,0.0
Prahtip Mitra,M,Swimming,Men's 100M Backstroke,1948,London,0.0,0.0,0.0
Prafulla Mullick,M,Swimming,Men's 200M Breaststroke,1948,London,0.0,0.0,0.0
Leslie Claudius,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Keshav Dutt,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Walter D'Souza,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Lawrie Fernandes,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Ranganathan Francis,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Gerry Glackan,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Akhtar Hussain,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Patrick Jansen,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Amir Kumar,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Kishan Lal,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Leo Pinto,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Jaswant Singh Rajput,M,Hockey,men's field hockey,1948,London,1.0,0.0,0.0
Latif-Ur-Rehman,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Reginald Rodrigues,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Balbir Singh Sr.,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Randhir Singh Gentle,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Grahanandan Singh,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
K. D. Singh,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Trilochan Singh,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Maxie Vaz,M,Hockey,men's field hockey,1948,London,0.0,0.0,0.0
Talimeran A,M,Football,Men's Football,1948,London,0.0,0.0,0.0
A. Sattar Basheer,M,Football,Men's Football,1948,London,0.0,0.0,0.0
Robi Das,M,Football,Men's Football,1948,London,0.0,0.0,0.0
Ahmed Mohamed Khan,M,Football,Men's Football,1948,London,0.0,0.0,0.0
Saliendra Manna,M,Football,Men's Football,1948,London,0.0,0.0,0.0
Sahu Mewalal,M,Football,Men's Football,1948,London,0.0,0.0,0.0
Taj Mohammed,M,Football,Men's Football,1948,London,0.0,0.0,0.0
Mahabir Prasad,M,Football,Men's Football,1948,London,0.0,0.0,0.0
Balaram Parab Ramchandra,M,Football,Men's Football,1948,London,0.0,0.0,0.0
Sarangapani Raman,M,Football,Men's Football,1948,London,0.0,0.0,0.0
Kenchappa V. Varada Raj,M,Football,Men's Football,1948,London,0.0,0.0,0.0
K. P. Dhanraj,M,Football,Men's Football,1948,London,0.0,0.0,0.0
S. M. Kaiser,M,Football,Men's Football,1948,London,0.0,0.0,0.0
Anil Nandy,M,Football,Men's Football,1948,London,0.0,0.0,0.0
Santosh Nandy,M,Football,Men's Football,1948,London,0.0,0.0,0.0
"T. M. Varghese ""Papen""",M,Football,Men's Football,1948,London,0.0,0.0,0.0
Sanjeeva Uchil,M,Football,Men's Football,1948,London,0.0,0.0,0.0
B. N. Vajravelu,M,Football,Men's Football,1948,London,0.0,0.0,0.0
Malcolm Havladar,M,Cycling,Mens Cycling & Team Road Race,1948,London,0.0,0.0,0.0
Raj Kumar Mehra,M,Cycling,Mens Cycling & Team Road Race,1948,London,0.0,0.0,0.0
Eruch Mistry,M,Cycling,Mens Cycling & Team Road Race,1948,London,0.0,0.0,0.0
Homi Powri,M,Cycling,Mens Cycling & Team Road Race,1948,London,0.0,0.0,0.0
Rusi Mulla Feroze,M,Cycling,Mens Sprint,1948,London,0.0,0.0,0.0
Rohinton Noble,M,Cycling,Mens Time trial,1948,London,0.0,0.0,0.0
Adi Havewala,M,Cycling,Mens Team Pursuit,1948,London,0.0,0.0,0.0
Jehangoo Amin,M,Cycling,Mens Team Pursuit,1948,London,0.0,0.0,0.0
Rohinton Noble,M,Cycling,Mens Team Pursuit,1948,London,0.0,0.0,0.0
Piloo Sarkari,M,Cycling,Mens Team Pursuit,1948,London,0.0,0.0,0.0
Rabin Bhatta,M,Boxing,Flyweight,1948,London,0.0,0.0,0.0
Babu Lall,M,Boxing,Bantanweight,1948,London,0.0,0.0,0.0
Benoy Bose,M,Boxing,Featherweight,1948,London,0.0,0.0,0.0
Gene Raymond,M,Boxing,Lightweight,1948,London,0.0,0.0,0.0
Robert Cranston,M,Boxing,Welterweight,1948,London,0.0,0.0,0.0
John Nuttall,M,Boxing,Middleweight,1948,London,0.0,0.0,0.0
Mac Joachim,M,Boxing,Lightweight,1948,London,0.0,0.0,0.0
Eric Prabhakar,M,Athletics,Mens 100M,1948,London,0.0,0.0,0.0
Jim Vickers,M,Athletics,Mens 110M,1948,London,0.0,0.0,0.0
Sadhu Singh,M,Athletics,Mens 10KM Walk & 50KM Walk,1948,London,0.0,0.0,0.0
Chhota Singh,M,Athletics,Men's Marathon,1948,London,0.0,0.0,0.0
Gurnam Singh,M,Athletics,Men's High Jump,1948,London,0.0,0.0,0.0
Baldev Singh,M,Athletics,Men's Long Jump,1948,London,0.0,0.0,0.0
Henry Rebello,M,Athletics,Men's Triple Jump,1948,London,0.0,0.0,0.0
Nat Singh Somnath,M,Athletics,Men's Hammer Throw,1948,London,0.0,0.0,0.0
Niranjan Das,M,Wrestling,Men's Under 52KG Freestyle,1952,Helsinki,0.0,0.0,0.0
Keshav Mangave,M,Wrestling,Men's Under 62KG Freestyle,1952,Helsinki,0.0,0.0,0.0
Shirang Jadhav,M,Wrestling,Men's Under 87KG Freestyle,1952,Helsinki,0.0,0.0,0.0
Khashaba Jadhav,M,Wrestling,Men's Under 57KG Freestyle,1952,Helsinki,0.0,0.0,1.0
Daniel Pon Mony,M,Weightlifting,Men's Weightlifting,1952,Helsinki,0.0,0.0,0.0
Kamiineni Eshwara Rao,M,Weightlifting,Men's Weightlifting,1952,Helsinki,0.0,0.0,0.0
Birendra Basak,M,Water Polo,Men's Water Polo,1952,Helsinki,0.0,0.0,0.0
David Sopher,M,Water Polo,Men's Water Polo,1952,Helsinki,0.0,0.0,0.0
Kedar Shah,M,Water Polo,Men's Water Polo,1952,Helsinki,0.0,0.0,0.0
Sambhu Saha,M,Water Polo,Men's Water Polo,1952,Helsinki,0.0,0.0,0.0
Sachin Nag,M,Water Polo,Men's Water Polo,1952,Helsinki,0.0,0.0,0.0
Jehangir Naegamwalla,M,Water Polo,Men's Water Polo,1952,Helsinki,0.0,0.0,0.0
Ran Chandnani,M,Water Polo,Men's Water Polo,1952,Helsinki,0.0,0.0,0.0
Isaac Mansoor,M,Swimming,Men's Swimming,1952,Helsinki,0.0,0.0,0.0
Bijoy Barman,M,Swimming,Men's Swimming,1952,Helsinki,0.0,0.0,0.0
Khamlillal Shah,M,Swimming,Men's Swimming,1952,Helsinki,0.0,0.0,0.0
Dolly Nazir,W,Swimming,Womens Swimming,1952,Helsinki,0.0,0.0,0.0
Arati Saha,W,Swimming,Womens Swimming,1952,Helsinki,0.0,0.0,0.0
Harihar Banerjee,M,Shooting,"Men's 50M Rifle Three Positions, 50M Rifle Prone & 300M Rifle Three Positions",1952,Helsinki,0.0,0.0,0.0
Souren Choudhury,M,Shooting,Mens 50M Rifle Prone,1952,Helsinki,0.0,0.0,0.0
Kunwar Digvijai Singh,M,Hockey,men's field hockey,1952,Helsinki,1.0,0.0,0.0
Leslie Claudius,M,Hockey,men's field hockey,1952,Helsinki,0.0,0.0,0.0
Keshav Dutt,M,Hockey,men's field hockey,1952,Helsinki,0.0,0.0,0.0
Chinadorai Deshmutu,M,Hockey,men's field hockey,1952,Helsinki,0.0,0.0,0.0
Randhir Singh Gentle,M,Hockey,men's field hockey,1952,Helsinki,0.0,0.0,0.0
Grahanandan Singh,M,Hockey,men's field hockey,1952,Helsinki,0.0,0.0,0.0
Ranganandhan Francis,M,Hockey,men's field hockey,1952,Helsinki,0.0,0.0,0.0
Jaswant Singh Rajput,M,Hockey,men's field hockey,1952,Helsinki,0.0,0.0,0.0
Balbir Singh Sr,M,Hockey,men's field hockey,1952,Helsinki,0.0,0.0,0.0
Dharam Singh,M,Hockey,men's field hockey,1952,Helsinki,0.0,0.0,0.0
Govind Perumal,M,Hockey,men's field hockey,1952,Helsinki,0.0,0.0,0.0
Raghbir Lal,M,Hockey,men's field hockey,1952,Helsinki,0.0,0.0,0.0
Udham Singh,M,Hockey,men's field hockey,1952,Helsinki,0.0,0.0,0.0
Chaman Singh Gurung,M,Hockey,men's field hockey,1952,Helsinki,0.0,0.0,0.0
Muniswamy Rajgopal,M,Hockey,men's field hockey,1952,Helsinki,0.0,0.0,0.0
Vir Singh,M,Gymnastics,Men's Gymnastics,1952,Helsinki,0.0,0.0,0.0
Khusi Ram,M,Gymnastics,Men's Gymnastics,1952,Helsinki,0.0,0.0,0.0
Ahmed Mohamed Khan,M,Football,Men's Football,1952,Helsinki,0.0,0.0,0.0
Berland Anthony,M,Football,Men's Football,1952,Helsinki,0.0,0.0,0.0
Joseph Anthony,M,Football,Men's Football,1952,Helsinki,0.0,0.0,0.0
Sayed Khwaja Aziz-Ud-Din,M,Football,Men's Football,1952,Helsinki,0.0,0.0,0.0
Sheikh Abdul Latif,M,Football,Men's Football,1952,Helsinki,0.0,0.0,0.0
Sailendra Nath Manna,M,Football,Men's Football,1952,Helsinki,0.0,0.0,0.0
Sayed Moinuddin,M,Football,Men's Football,1952,Helsinki,0.0,0.0,0.0
Madar Abdus Sattar,M,Football,Men's Football,1952,Helsinki,0.0,0.0,0.0
Thulukhanam Shunmugham,M,Football,Men's Football,1952,Helsinki,0.0,0.0,0.0
Chandan Singh Rawat,M,Football,Men's Football,1952,Helsinki,0.0,0.0,0.0
Padanttom Venkatesh,M,Football,Men's Football,1952,Helsinki,0.0,0.0,0.0
Sahu Mewalal,M,Football,Men's Football,1952,Helsinki,0.0,0.0,0.0
Noor Mohammed,M,Football,Men's Football,1952,Helsinki,0.0,0.0,0.0
Subhash Sarbadhikari,M,Football,Men's Football,1952,Helsinki,0.0,0.0,0.0
Kenchappa V. Varada Raj,M,Football,Men's Football,1952,Helsinki,0.0,0.0,0.0
Raj Kumar Mehra,M,Cycling,Men's Individual Road Race,1952,Helsinki,0.0,0.0,0.0
Netai Bysack,M,Cycling,Men's Individual Road Race & Men's 1000M Sprint Scratch Race,1952,Helsinki,0.0,0.0,0.0
Pradip Bode,M,Cycling,Men's Individual Road Race,1952,Helsinki,0.0,0.0,0.0
Suprovat Chakravarty,M,Cycling,Men's Individual Road Race & Men's 1000M Time Trial,1952,Helsinki,0.0,0.0,0.0
Sakti Mazumdar,M,Boxing,Men's Flyweight,1952,Helsinki,0.0,0.0,0.0
Benoy Kumar Bose,M,Boxing,Men's Featherweight,1952,Helsinki,0.0,0.0,0.0
Ron Norris,M,Boxing,Men's Welterweight,1952,Helsinki,0.0,0.0,0.0
Oscar Alfred Ward,M,Boxing,Men's Light Heavyweight,1952,Helsinki,0.0,0.0,0.0
Lavy Pinto,M,Athletics,Men's Athletics,1952,Helsinki,0.0,0.0,0.0
Ivan Jacob,M,Athletics,Men's Athletics,1952,Helsinki,0.0,0.0,0.0
Sohan Singh,M,Athletics,Men's Athletics,1952,Helsinki,0.0,0.0,0.0
Surat Mathur,M,Athletics,Men's Athletics,1952,Helsinki,0.0,0.0,0.0
Mehnga Singh,W,Athletics,Womens Athletics,1952,Helsinki,0.0,0.0,0.0
Nilima Ghose,W,Athletics,Womens Athletics,1952,Helsinki,0.0,0.0,0.0
Baban Daware,M,Wrestling,Men's Under 52KG Freestyle,1956,Melbourne,0.0,0.0,0.0
Tarashkeswar Pandey,M,Wrestling,Men's Under 57KG Freestyle,1956,Melbourne,0.0,0.0,0.0
Ram Sarup,M,Wrestling,Men's Under 62KG Freestyle,1956,Melbourne,0.0,0.0,0.0
Lakhshmi Kant Pandey,M,Wrestling,Men's Under 67KG Freestyle,1956,Melbourne,0.0,0.0,0.0
D. Singh,M,Wrestling,Men's Under 73KG Freestyle,1956,Melbourne,0.0,0.0,0.0
B. Singh,M,Wrestling,Men's Under 79KG Freestyle,1956,Melbourne,0.0,0.0,0.0
Lila Ram,M,Wrestling,Men's Under 87KG Freestyle,1956,Melbourne,0.0,0.0,0.0
Valli Asari Mookan,M,Weightlifting,Men's Weightlifting,1956,Melbourne,0.0,0.0,0.0
Kamiineni Eshwara Rao,M,Weightlifting,Men's Weightlifting,1956,Melbourne,0.0,0.0,0.0
Dandamudi Rajagopal,M,Weightlifting,Men's Weightlifting,1956,Melbourne,0.0,0.0,0.0
Sri Chand Bajaj,M,Swimming,Mens Men's 100M Freestyle,1956,Melbourne,0.0,0.0,0.0
Shamsher Khan,M,Swimming,Men's 200M Butterfly,1956,Melbourne,0.0,0.0,0.0
Harihar Banerjee,M,Shooting,Mens 50M Rifle Three Positions,1956,Melbourne,0.0,0.0,0.0
Haricharan Shaw,M,Shooting,Mens 50M Rifle Three Positions,1956,Melbourne,0.0,0.0,0.0
Leslie Claudius,M,Hockey,men's field hockey,1956,Melbourne,1.0,0.0,0.0
Ranganathan Francis,M,Hockey,men's field hockey,1956,Melbourne,0.0,0.0,0.0
Haripal Kaushik,M,Hockey,men's field hockey,1956,Melbourne,0.0,0.0,0.0
Amir Kumar,M,Hockey,men's field hockey,1956,Melbourne,0.0,0.0,0.0
Raghbir Lal,M,Hockey,men's field hockey,1956,Melbourne,0.0,0.0,0.0
Shankar Lakshman,M,Hockey,men's field hockey,1956,Melbourne,0.0,0.0,0.0
Govind Perumal,M,Hockey,men's field hockey,1956,Melbourne,0.0,0.0,0.0
Amit Singh Bakshi,M,Hockey,men's field hockey,1956,Melbourne,0.0,0.0,0.0
Raghbir Singh Bhola,M,Hockey,men's field hockey,1956,Melbourne,0.0,0.0,0.0
